,l2,l1
0,action-camera,kamera
1,aksesoris-226,komputer
2,aksesoris-handphone,handphone
3,aksesoris-kamera,kamera
4,aksesoris-lainnya-132,hobi_dan_koleksi
5,aksesoris-mobil,mobil
6,aksesoris-motor,motor
7,alat-kantor,perlengkapan_kantor
8,alat-kesehatan,kesehatan
9,alat-tulis-kantor,perlengkapan_kantor
10,anak-laki-laki,fashion_anak
11,anak-perempuan,fashion_anak
12,anak-unisex,fashion_anak
13,audio-mobil,mobil
14,badminton,olahraga
15,baju-muslim-perlengkapan-sholat,fashion_pria
16,baju-muslim-perlengkapan-sholat-2555,fashion_wanita
17,basket,olahraga
18,batu-cincin,hobi_dan_koleksi
19,berkebun,hobi_dan_koleksi
20,brake,sepeda
21,buku,hobi_dan_koleksi
22,bumbu,food
23,busana-muslim,fashion_anak
24,celana,fashion_wanita
25,celana-299,fashion_pria
26,couple,fashion_anak
27,dapur,rumah_tangga
28,drivetrain,sepeda
29,eksterior-mobil,mobil
30,elektronik,elektronik
31,elektronik-1111,rumah_tangga
32,equipment-tools,sepeda
33,exercise-fitness,olahraga
34,exhaust-system-mobil,mobil
35,fashion-pria,fashion_pria
36,fashion-wanita,fashion_wanita
37,food,food
38,fork-suspension,sepeda
39,frame,sepeda
40,fullbike,sepeda
41,furniture,perlengkapan_bayi
42,furniture-interior,rumah_tangga
43,golf,olahraga
44,handphone,handphone
45,hardware,komputer
46,hobi-koleksi,hobi_dan_koleksi
47,hunting,olahraga
48,industrial,industrial
49,interior-mobil,mobil
50,jilbab-2571,fashion_wanita
51,kaki-kaki-mobil,mobil
52,kamera,kamera
53,kesehatan-2359,kesehatan
54,kesehatan-mata,kesehatan
55,kesehatan-mulut-gigi,kesehatan
56,kesehatan-telinga,kesehatan
57,kesehatan-wanita,kesehatan
58,koleksi,hobi_dan_koleksi
59,komputer,komputer
60,lari,olahraga
61,mainan,hobi_dan_koleksi
62,makanan-711,perlengkapan_bayi
63,makeup,perawatan_dan_kecantikan
64,mesin,industrial
65,mesin-mobil,mobil
66,mobil-part-dan-aksesoris,mobil
67,motor-471,motor
68,musik,hobi_dan_koleksi
69,obat-suplemen,kesehatan
70,olahraga,olahraga
71,outdoor,olahraga
72,outwear,sepeda
73,outwear-motor,motor
74,pakaian-bayi,perlengkapan_bayi
75,pancing,olahraga
76,parfum,perawatan_dan_kecantikan
77,pelangsing,perawatan_dan_kecantikan
78,perawatan-kecantikan,perawatan_dan_kecantikan
79,perawatan-tubuh-2311,perawatan_dan_kecantikan
80,perawatan-wajah,perawatan_dan_kecantikan
81,perlengkapan-bayi,perlengkapan_bayi
82,perlengkapan-kantor,perlengkapan_kantor
83,personal-care,kesehatan
84,pet-food-stuff,hobi_dan_koleksi
85,printer,komputer
86,produk-kecantikan,perawatan_dan_kecantikan
87,produk-perawatan-mobil,mobil
88,produk-perawatan-motor,motor
89,renang,olahraga
90,rumah-tangga,rumah_tangga
91,saddle-seatpost,sepeda
92,safety,industrial
93,sandal,fashion_pria
94,sandal-2038,fashion_wanita
95,sepakbola-futsal,olahraga
96,sepatu-16,fashion_wanita
97,sepatu-169,fashion_pria
98,sepeda,sepeda
99,skateboard,olahraga
100,sparepart-motor,motor
101,steering,sepeda
102,surfing-diving,olahraga
103,tas-pria,fashion_pria
104,tas-wanita,fashion_wanita
105,tenis,olahraga
106,tenis-meja,olahraga
107,tiket-voucher,tiket_dan_voucher
108,video-game,hobi_dan_koleksi
109,wheel-hub-rims-dll,sepeda
